gene_id	colors
ANKRD61	grey
ANKRD63	grey
ANKRD9	turquoise
ANKS1B	grey
ANKS3	turquoise
ANLN	turquoise
ANO1	grey
ANO10	blue
ANO4	turquoise
ANO6	pink
ANO7	grey
ANO8	brown
ANO9	grey
ANP32E	turquoise
ANTKMT	grey
ANTXR2	blue
ANXA1	blue
ANXA10	green
ANXA11	grey
ANXA13	grey
ANXA3	grey
ANXA5	green
ANXA7	turquoise
AOAH	blue
AOC2	red
AP1M2	grey
AP1S3	brown
AP2A1	turquoise
AP2A2	turquoise
AP2M1	turquoise
AP2S1	turquoise
AP3M2	grey
AP3S1	turquoise
AP4B1	turquoise
AP5B1	blue
AP5S1	grey
AP5Z1	yellow
APBA1	pink
APBA2	grey
APBA3	yellow
APBB1	red
APBB2	grey
APC2	blue
APCDD1	black
APELA	grey
APH1A	turquoise
APH1B	blue
APLF	turquoise
APLN	blue
APLP1	grey
APLP2	turquoise
APOA1	blue
APOA2	blue
APOA5	grey
APOBEC1	brown
APOBEC2	grey
APOBEC4	grey
APOBR	blue
APOC3	grey
APOE	grey
APOF	grey
APOL5	brown
APOLD1	grey
APOO	grey
APPL1	black
APPL2	grey
APRT	yellow
AQP1	turquoise
AQP10	grey
AQP2	grey
AQP3	red
AQP7	turquoise
AQP9	blue
ARAF	turquoise
ARAP1	blue
ARAP2	brown
ARAP3	blue
ARC	yellow
AREG	blue
ARFGAP3	turquoise
ARFGEF3	grey
ARFIP2	brown
ARFRP1	turquoise
ARG1	brown
ARG2	blue
ARGFX	blue
ARHGAP12	turquoise
ARHGAP19	turquoise
ARHGAP21	pink
ARHGAP23	turquoise
ARHGAP24	black
ARHGAP27	blue
ARHGAP28	grey
ARHGAP29	grey
ARHGAP30	blue
ARHGAP31	brown
ARHGAP32	turquoise
ARHGAP33	red
ARHGAP39	grey
ARHGAP42	grey
ARHGAP44	grey
ARHGAP5	red
ARHGAP6	pink
ARHGDIA	yellow
ARHGDIG	yellow
ARHGEF10	pink
ARHGEF10L	turquoise
ARHGEF11	blue
ARHGEF15	grey
ARHGEF16	grey
ARHGEF17	brown
ARHGEF18	red
ARHGEF19	grey
ARHGEF2	blue
ARHGEF25	grey
ARHGEF26	blue
ARHGEF33	grey
ARHGEF37	grey
ARHGEF39	grey
ARHGEF4	green
ARHGEF40	grey
ARID3A	blue
ARL10	brown
ARL13B	turquoise
ARL14	grey
ARL16	brown
ARL2	yellow
ARL4A	turquoise
ARL4C	yellow
ARL4D	grey
ARL5B	blue
ARL5C	blue
ARL6	grey
ARL6IP4	grey
ARL8A	grey
ARL8B	blue
ARL9	grey
ARMC12	blue
ARMC2	grey
ARMC8	turquoise
ARMC9	grey
ARMCX2	grey
ARMCX5	grey
ARMH1	grey
ARMH4	grey
ARNT2	yellow
ARNTL	blue
ARNTL2	blue
ARPP21	grey
ARRB2	blue
ARRDC1	yellow
ARRDC2	blue
ARRDC3	blue
ARRDC4	blue
ARRDC5	grey
ARSA	grey
ARSB	blue
ARSJ	green
ARSK	blue
ARSL	grey
ART3	grey
ART4	turquoise
ARVCF	grey
ASAH1	blue
ASAH2	grey
ASAP1	turquoise
ASAP2	pink
ASAP3	yellow
ASB1	turquoise
ASB11	grey
ASB13	grey
ASB14	grey
ASB2	red
ASB6	yellow
ASB8	turquoise
ASCC1	turquoise
ASCC2	turquoise
ASCL2	grey
ASCL4	black
ASGR2	green
ASIC1	grey
ASIC4	grey
ASL	brown
ASMT	grey
ASPA	red
ASPH	turquoise
ASPHD1	grey
ASPHD2	brown
ASPM	turquoise
ASPSCR1	yellow
ASRGL1	blue
ASS1	grey
ASTL	grey
ASZ1	turquoise
ATAD2	turquoise
ATAD5	turquoise
ATCAY	red
ATF1	turquoise
ATF3	green
ATF5	grey
ATF6	yellow
ATF7IP2	grey
ATG10	grey
ATG14	turquoise
ATG16L2	blue
ATG2A	turquoise
ATG4A	turquoise
ATG4C	turquoise
ATG9A	pink
ATG9B	grey
ATL1	grey
ATOH1	grey
ATOH8	grey
ATOX1	turquoise
ATP10A	yellow
ATP10D	black
ATP11A	blue
ATP13A2	blue
ATP1A3	grey
ATP1B1	red
ATP1B3	blue
ATP1B4	blue
ATP23	turquoise
ATP2A1	brown
ATP2A3	pink
ATP2B2	grey
ATP2B3	grey
ATP2C2	grey
ATP4A	grey
ATP4B	brown
ATP5F1B	turquoise
ATP5F1D	turquoise
ATP5F1E	yellow
ATP5IF1	turquoise
ATP5ME	grey
ATP5MG	turquoise
ATP5MJ	turquoise
ATP6AP2	turquoise
ATP6V0A1	blue
ATP6V0B	turquoise
ATP6V0C	turquoise
ATP6V0D1	turquoise
ATP6V1A	blue
ATP6V1C1	blue
ATP6V1C2	grey
ATP6V1D	blue
ATP6V1F	turquoise
ATP6V1FNB	grey
ATP6V1G1	turquoise
ATP7B	turquoise
ATP8B1	grey
ATP8B4	blue
ATP9A	blue
ATP9B	turquoise
ATPSCKMT	green
ATRAID	yellow
ATRN	blue
ATRNL1	pink
ATRX	blue
ATXN10	turquoise
ATXN7L2	yellow
AUH	turquoise
AURKA	turquoise
AURKAIP1	yellow
AURKC	grey
AUTS2	black
AVEN	turquoise
AVIL	blue
AVPI1	grey
AVPR1A	blue
AVPR1B	grey
AXDND1	blue
AXIN2	brown
AXL	grey
AZIN1	turquoise
AZIN2	grey
B3GALNT1	brown
B3GALNT2	red
B3GALT4	grey
B3GALT6	yellow
B3GALT9	grey
B3GAT2	grey
B3GAT3	yellow
B3GNT2	grey
B3GNT4	grey
B3GNT5	brown
B3GNT7	yellow
B3GNT8	blue
B3GNT9	grey
B3GNTL1	yellow
B4GALNT4	grey
B4GALT1	blue
B4GALT2	turquoise
B4GALT5	green
B4GALT6	magenta
B4GALT7	blue
B4GAT1	grey
B9D1	grey
BAALC	grey
BABAM1	turquoise
BACE1	brown
BACE2	green
BACH1	blue
BACH2	red
BAG2	grey
BAG3	brown
BAG5	brown
BAG6	turquoise
BAHCC1	grey
BAIAP2	grey
BAIAP2L2	grey
BAIAP3	yellow
BAK1	green
BAMBI	brown
BANK1	black
BARHL2	grey
BASP1	blue
BATF	brown
BATF2	grey
BATF3	brown
BAZ2B	blue
BBC3	grey
BBLN	grey
BBS1	brown
BBS12	grey
BBS2	grey
BBS4	turquoise
BBS5	grey
BBS7	grey
BBS9	turquoise
BCAM	turquoise
BCAR1	grey
BCAR3	black
BCAS2	grey
BCAS3	turquoise
BCAT2	yellow
BCHE	grey
BCKDK	brown
BCL11B	brown
BCL2A1	blue
BCL2L1	turquoise
BCL2L10	blue
BCL2L12	grey
BCL2L14	grey
BCL2L15	turquoise
BCL3	blue
BCL6	blue
BCL6B	yellow
BCL7A	grey
BCL9	red
BCLAF3	green
BCO2	grey
BCR	yellow
BDH1	grey
BDH2	purple
BDKRB2	grey
BEND4	black
BEND7	grey
BEST1	blue
BEST2	grey
BEST3	grey
BEST4	grey
BET1L	yellow
BEX2	grey
BEX3	brown
BEX4	grey
BFSP1	turquoise
BGN	grey
BHLHA15	yellow
BHLHB9	red
BHLHE22	grey
BHLHE40	blue
BHLHE41	black
BHMT	grey
BHMT2	grey
BICD1	grey
BICDL1	red
BICDL2	grey
BIK	grey
BIN1	brown
BIN2	blue
BIRC2	turquoise
BIRC5	turquoise
BLK	black
BLM	turquoise
BLNK	black
BLOC1S4	green
BLVRB	turquoise
BMF	blue
BMP10	grey
BMP2	grey
BMP3	grey
BMP4	yellow
BMP6	grey
BMP8A	brown
BMP8B	grey
BMPR1A	brown
BMT2	grey
BMX	blue
BNIP1	grey
BNIP3	grey
BOC	grey
BOD1	yellow
BOLA1	yellow
BOP1	yellow
BORCS6	yellow
BORCS7	grey
BPGM	turquoise
BPHL	red
BPI	blue
BPIFC	grey
BPNT1	blue
BPNT2	blue
BRAT1	yellow
BRCA1	turquoise
BRCA2	turquoise
BRD3	turquoise
BRDT	magenta
BRF1	yellow
BRI3	blue
BRICD5	brown
BRINP1	grey
BRIP1	turquoise
BRIX1	brown
BRME1	red
BRMS1L	grey
BRPF3	turquoise
BRS3	grey
BRSK1	grey
BRSK2	grey
BSCL2	turquoise
BSDC1	turquoise
BSG	turquoise
BSN	pink
BSPRY	brown
BST1	red
BST2	green
BTBD11	black
BTBD18	grey
BTBD2	yellow
BTBD3	grey
BTBD6	yellow
BTBD8	turquoise
BTF3	turquoise
BTG2	blue
BTLA	black
BTN2A2	grey
BTN3A2	grey
BTRC	turquoise
BUB1	turquoise
BUB1B	turquoise
BUD23	turquoise
BVES	grey
C1GALT1C1	blue
C1QL3	grey
C1QTNF5	grey
C1QTNF6	grey
C1QTNF7	red
C1QTNF9	grey
C1R	blue
C1RL	blue
C1S	grey
C2	grey
C2CD2	turquoise
C2CD4A	grey
C2CD4D	grey
C2CD6	turquoise
C3	green
C3AR1	blue
C4BPA	magenta
C4BPB	blue
C5	grey
C5AR1	blue
C5AR2	blue
C6	grey
C8G	blue
C9orf72	blue
CA12	blue
CA14	grey
CA2	turquoise
CA3	turquoise
CA4	blue
CA5A	turquoise
CA7	grey
CA8	grey
CAB39L	turquoise
CABLES1	grey
CABLES2	yellow
CABP1	grey
CABP2	brown
CABP5	grey
CABP7	grey
CABYR	grey
CACFD1	grey
CACHD1	grey
CACNA1A	grey
CACNA1B	grey
CACNA1C	grey
CACNA1D	brown
CACNA1E	grey
CACNA1F	grey
CACNA1G	turquoise
CACNA1H	red
CACNA1S	grey
CACNA2D3	grey
CACNA2D4	grey
CACNB1	black
CACNB2	blue
CACNB3	red
CACNB4	grey
CACNG5	grey
CAD	yellow
CADM1	grey
CADM3	turquoise
CADM4	grey
CADPS	grey
CADPS2	grey
CAGE1	turquoise
CALB1	grey
CALB2	grey
CALCRL	grey
CALD1	pink
CALHM1	grey
CALHM2	yellow
CALHM6	grey
CALM3	turquoise
CALML4	grey
CALR	turquoise
CALR3	grey
CALY	grey
CAMK1	grey
CAMK2A	grey
CAMK2B	grey
CAMK4	red
CAMKK1	blue
CAMKK2	blue
CAMKMT	grey
CAMKV	grey
CAMSAP2	yellow
CAMSAP3	yellow
CAPG	blue
CAPN10	yellow
CAPN12	grey
CAPN14	grey
CAPN15	yellow
CAPN3	turquoise
CAPN5	grey
CAPN8	grey
CAPNS1	turquoise
CAPNS2	green
CAPRIN2	grey
CAPS	grey
CAPSL	grey
CARD10	yellow
CARD11	yellow
CARD14	grey
CARD16	blue
CARD19	blue
CARD6	blue
CARD9	yellow
CARF	turquoise
CARHSP1	turquoise
CARM1	turquoise
CARMIL1	brown
CARMIL2	red
CARMIL3	brown
CARNMT1	turquoise
CARNS1	yellow
CARS2	purple
CASKIN1	grey
CASKIN2	grey
CASP1	grey
CASP10	green
CASP2	brown
CASP3	blue
CASP8AP2	turquoise
CASQ1	grey
CASS4	blue
CASTOR1	blue
CASTOR2	brown
CASZ1	brown
CAT	turquoise
CATSPER3	green
CATSPERE	grey
CATSPERG	brown
CATSPERZ	grey
CAV1	grey
CAV2	grey
CAVIN1	grey
CAVIN2	pink
CAVIN3	turquoise
CAVIN4	grey
CBFA2T3	turquoise
CBLB	brown
CBLC	blue
CBR3	grey
CBX2	yellow
CBX6	brown
CBX8	yellow
CBY1	turquoise
CBY3	yellow
CC2D2A	blue
CC2D2B	turquoise
CCDC102A	yellow
CCDC102B	grey
CCDC112	grey
CCDC113	grey
CCDC115	yellow
CCDC116	grey
CCDC117	turquoise
CCDC12	brown
CCDC122	magenta
CCDC125	turquoise
CCDC134	turquoise
CCDC136	grey
CCDC137	yellow
CCDC138	turquoise
CCDC14	turquoise
CCDC141	grey
CCDC146	blue
CCDC149	red
CCDC15	turquoise
CCDC150	turquoise
CCDC152	grey
CCDC157	grey
CCDC159	grey
CCDC163	blue
CCDC167	green
CCDC17	grey
CCDC175	grey
CCDC177	grey
CCDC18	turquoise
CCDC180	blue
CCDC184	grey
CCDC187	yellow
CCDC191	red
CCDC24	turquoise
CCDC28B	blue
CCDC30	grey
CCDC34	turquoise
CCDC38	brown
CCDC39	red
CCDC40	grey
CCDC43	brown
CCDC50	black
CCDC51	brown
CCDC57	grey
CCDC61	blue
CCDC62	grey
CCDC65	blue
CCDC66	turquoise
CCDC7	turquoise
CCDC73	grey
CCDC74B	yellow
CCDC77	turquoise
CCDC78	grey
CCDC8	grey
CCDC80	grey
CCDC83	grey
CCDC85B	blue
CCDC85C	grey
CCDC86	yellow
CCDC88B	blue
CCDC89	grey
CCDC92	grey
CCDC96	grey
CCDC9B	grey
CCER2	grey
CCHCR1	grey
CCIN	grey
CCK	grey
CCKAR	grey
CCL1	grey
CCL17	grey
CCL20	green
CCL22	green
CCL5	brown
CCM2L	blue
CCN1	grey
CCN2	turquoise
CCN3	grey
CCN6	grey
CCNB1IP1	turquoise
CCNB2	turquoise
CCNB3	magenta
CCND1	brown
CCND2	brown
CCNDBP1	turquoise
CCNE1	grey
CCNE2	turquoise
CCNF	turquoise
CCNG1	turquoise
CCNI	turquoise
CCNI2	turquoise
CCNJL	blue
CCNQ	brown
CCPG1	turquoise
CCR10	grey
CCR3	grey
CCR4	brown
CCR5	green
CCR6	yellow
CCR7	red
CCR9	brown
CCRL2	blue
CCSER1	grey
CCSER2	turquoise
CCT6B	turquoise
CD101	blue
CD109	turquoise
CD14	blue
CD151	pink
CD164	blue
CD180	black
CD19	black
CD1E	grey
CD2	brown
CD200	black
CD200R1	black
CD22	black
CD226	pink
CD244	grey
CD247	yellow
CD27	red
CD274	blue
CD28	red
CD300A	blue
CD300LB	grey
CD300LF	blue
CD320	brown
CD34	grey
CD36	grey
CD38	blue
CD3E	brown
CD3G	brown
CD4	red
CD40	green
CD40LG	purple
CD44	blue
CD48	blue
CD5	brown
CD53	blue
CD55	turquoise
CD59	turquoise
CD6	brown
CD68	blue
CD70	grey
CD72	black
CD74	black
CD79A	black
CD79B	black
CD80	black
CD81	yellow
CD82	blue
CD83	brown
CD84	blue
CD86	green
CD8A	brown
CD8B	brown
CD9	pink
CD93	grey
CD96	brown
CDA	turquoise
CDADC1	turquoise
CDC20	turquoise
CDC23	turquoise
CDC25B	turquoise
CDC25C	turquoise
CDC34	turquoise
CDC42	turquoise
CDC42BPA	turquoise
CDC42BPB	pink
CDC42BPG	grey
CDC42EP1	grey
CDC42EP2	grey
CDC42EP3	blue
CDC42EP4	blue
CDC45	grey
CDC7	turquoise
CDCA2	turquoise
CDCA3	grey
CDCA4	grey
CDCA5	grey
CDCA7L	grey
CDCP1	blue
CDH1	turquoise
CDH13	grey
CDH15	red
CDH17	red
CDH2	grey
CDH23	blue
CDH24	grey
CDH26	grey
CDH3	grey
CDH4	red
CDH5	grey
CDHR3	grey
CDHR4	brown
CDIP1	turquoise
CDK1	turquoise
CDK10	red
CDK14	grey
CDK16	turquoise
CDK18	grey
CDK20	brown
CDK3	grey
CDK5	yellow
CDK5R1	brown
CDK5RAP2	turquoise
CDK6	turquoise
CDKAL1	turquoise
CDKL1	turquoise
CDKL2	grey
CDKL3	magenta
CDKL4	turquoise
CDKN1A	blue
CDKN1C	grey
CDKN2B	purple
CDKN2C	turquoise
CDKN2D	turquoise
CDKN3	turquoise
CDO1	grey
CDON	grey
CDPF1	yellow
CDR2	turquoise
CDR2L	yellow
CDRT4	grey
CDS1	grey
CDT1	grey
CDYL	turquoise
CEACAM18	grey
CEACAM19	green
CEACAM20	grey
CEBPA	grey
CEBPB	blue
CEBPD	blue
CEBPE	grey
CEBPZOS	brown
CELA1	grey
CELF1	turquoise
CELF3	turquoise
CELF5	green
CELSR1	grey
CELSR2	turquoise
CEMIP2	blue
CENPA	turquoise
CENPB	yellow
CENPC	turquoise
CENPE	turquoise
CENPF	turquoise
CENPH	turquoise
CENPJ	turquoise
CENPL	grey
CENPM	grey
CENPN	turquoise
CENPO	grey
CENPS	grey
CENPT	turquoise
CENPU	turquoise
CENPX	yellow
CEP104	yellow
CEP112	red
CEP128	turquoise
CEP131	yellow
CEP152	turquoise
CEP162	turquoise
CEP170B	grey
CEP192	turquoise
CEP20	turquoise
CEP290	turquoise
CEP43	yellow
CEP44	turquoise
CEP55	black
CEP57	turquoise
CEP57L1	turquoise
CEP68	blue
CEP70	turquoise
CEP72	grey
CEP76	turquoise
CEP83	turquoise
CEP89	turquoise
CERK	yellow
CERS1	grey
CERS4	turquoise
CERS6	green
CES1	turquoise
CES5A	turquoise
CETN2	grey
CETN3	turquoise
CFAP126	grey
CFAP141	magenta
CFAP20DC	grey
CFAP210	brown
CFAP276	grey
CFAP298	grey
CFAP300	grey
CFAP410	blue
CFAP418	grey
CFAP43	turquoise
CFAP44	grey
CFAP45	red
CFAP54	turquoise
CFAP57	grey
CFAP58	blue
CFAP61	turquoise
CFAP70	grey
CFAP73	yellow
CFAP74	grey
CFAP91	purple
CFAP97D2	grey
CFB	grey
CFDP1	grey
CFLAR	blue
CFTR	grey
CGA	red
CGAS	brown
CGNL1	grey
CGREF1	grey
CH25H	grey
CHAC1	grey
CHAD	blue
CHADL	grey
CHAF1A	turquoise
CHAF1B	grey
CHCHD1	brown
CHCHD10	yellow
CHCHD2	turquoise
CHCHD4	brown
CHD5	grey
CHDH	grey
CHEK1	turquoise
CHEK2	turquoise
CHGA	grey
CHGB	grey
CHI3L1	blue
CHID1	yellow
CHKA	blue
CHKB	grey
CHML	brown
CHMP4A	turquoise
CHMP4B	turquoise
CHMP4C	grey
CHN1	grey
CHN2	brown
CHPF	yellow
CHPT1	blue
CHRM2	grey
CHRM3	grey
CHRM4	grey
CHRNA1	grey
CHRNA10	grey
CHRNA2	magenta
CHRNA3	grey
CHRNA5	grey
CHRNA7	brown
CHRNA9	blue
CHRNB1	brown
CHRNE	pink
CHST10	red
CHST11	yellow
CHST12	yellow
CHST14	brown
CHST15	turquoise
CHST2	pink
CHST3	brown
CHST6	black
CHST7	brown
CHTF18	yellow
CIAO2A	pink
CIAO3	brown
CIAPIN1	turquoise
CIART	grey
CIB2	grey
CIB3	green
CIBAR1	magenta
CIBAR2	blue
CIDEB	grey
CIITA	black
CILK1	pink
CIP2A	turquoise
CISD2	turquoise
CISD3	grey
CISH	green
CIT	turquoise
CITED4	grey
CKAP2	turquoise
CKAP2L	magenta
CKAP4	blue
CKB	grey
CKM	turquoise
CKMT1A	grey
CKS1B	grey
CKS2	brown
CLASP1	turquoise
CLCA2	grey
CLCF1	brown
CLCN1	grey
CLCN2	turquoise
CLCN4	grey
CLCN5	brown
CLCN6	grey
CLDN11	grey
CLDN12	grey
CLDN15	blue
CLDN16	grey
CLDN19	grey
CLDN20	brown
CLDN5	turquoise
CLDN7	blue
CLDND1	turquoise
CLDND2	yellow
CLEC12A	blue
CLEC12B	blue
CLEC14A	grey
CLEC17A	black
CLEC1A	blue
CLEC1B	turquoise
CLEC20A	grey
CLEC4D	blue
CLEC4E	blue
CLEC5A	blue
CLEC9A	blue
CLGN	brown
CLIC2	turquoise
CLIC3	grey
CLIC4	blue
CLIC5	pink
CLIP1	blue
CLIP3	red
CLIP4	brown
CLMN	brown
CLN3	blue
CLN5	blue
CLN8	turquoise
CLNK	grey
CLPX	turquoise
CLSPN	blue
CLSTN3	yellow
CLTRN	grey
CLU	pink
CLUH	yellow
CLVS1	grey
CLVS2	grey
CLYBL	turquoise
CMAS	turquoise
CMBL	grey
CMC1	grey
CMC2	brown
CMKLR1	green
CMPK1	turquoise
CMPK2	green
CMTM4	blue
CMTM6	blue
CMTM7	grey
CMTR2	brown
CMYA5	green
CNBD1	grey
CNDP1	grey
CNDP2	yellow
CNFN	grey
CNGA3	grey
CNGA4	grey
CNGB3	grey
CNIH2	grey
CNKSR1	grey
CNKSR3	grey
CNN1	grey
CNN2	blue
CNN3	grey
CNNM2	turquoise
CNOT6	turquoise
CNPPD1	turquoise
CNPY4	brown
CNR1	blue
CNR2	black
CNRIP1	grey
CNTD1	grey
CNTF	brown
CNTFR	grey
CNTLN	turquoise
CNTN2	blue
CNTNAP1	grey
CNTNAP2	grey
CNTNAP5	grey
COBL	grey
COBLL1	grey
COCH	grey
COG3	turquoise
COL10A1	brown
COL11A2	grey
COL12A1	magenta
COL17A1	blue
COL19A1	grey
COL23A1	turquoise
COL26A1	grey
COL28A1	grey
COL2A1	black
COL4A2	blue
COL4A5	grey
COL6A6	grey
COL7A1	grey
COL8A2	grey
COLCA2	grey
COLEC12	turquoise
COLGALT2	grey
COLQ	grey
COMMD1	grey
COMMD10	grey
COMMD4	grey
COMMD5	yellow
COMMD6	grey
COMMD8	brown
COMT	turquoise
COMTD1	yellow
COP1	blue
COPRS	grey
COPS2	turquoise
COPS3	turquoise
COPS7B	grey
COPS8	yellow
COPS9	yellow
COPZ2	grey
COQ10A	brown
COQ4	yellow
COQ5	brown
COQ7	red
COQ8A	red
COQ8B	brown
COQ9	brown
CORIN	grey
CORO1A	blue
CORO1B	yellow
CORO1C	pink
CORO2A	red
CORO6	blue
CPA3	blue
CPB1	blue
CPB2	blue
CPE	grey
CPEB2	brown
CPEB4	turquoise
CPED1	grey
CPLANE2	grey
CPLX1	blue
CPLX2	grey
CPLX3	grey
CPM	grey
CPNE3	turquoise
CPNE5	blue
CPNE8	brown
CPNE9	grey
CPOX	turquoise
CPQ	turquoise
CPSF1	yellow
CPSF6	turquoise
CPT1B	yellow
CPT1C	grey
CPVL	grey
CPXM2	grey
CR1	grey
CR2	pink
CRACD	pink
CRACR2A	grey
CRACR2B	grey
CRADD	turquoise
CRAT	turquoise
CRB2	grey
CRB3	grey
CRBN	yellow
