miRNA	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count
hsa-miR-1587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-15a-5p	18268	15198	23869	15638	34515	19369	51692	32202	65970	42721	50427	43283	45978	34782	36391	10805	46931	42003	55188	37686	46181	23632	19940	36371	37305	27473	76476	59061	36986	26569	23221	21353	73299	36592	74805	55733	6652	32033	34953	34219
hsa-miR-15b-5p	47277	57131	103605	60862	95874	72265	115378	92132	160193	119083	170913	153578	109975	101291	53225	24997	188208	214247	165478	87835	132449	68904	57623	104972	114155	111026	150862	140860	120063	99198	51859	71635	167375	106809	203122	162084	23809	102533	78069	103618
hsa-miR-16-5p	1721160	2029934	2964341	1452540	3626407	2821902	4542538	3562123	4368931	5704354	3453570	3502959	4996233	3638478	3599166	2668457	4105883	5707341	5903963	4069202	3343866	3064214	3114737	2870300	5545043	4517250	5435478	5285290	2553992	3146403	2437891	3012828	4963751	3793422	7871768	5427595	928339	3556286	2451798	3019992
hsa-miR-16-5p	1719914	2028724	2962509	1451730	3623103	2819695	4539616	3559803	4365464	5699915	3450678	3500622	4991295	3635270	3595712	2666391	4102749	5703729	5899370	4065858	3341163	3061542	3111850	2867762	5539308	4512368	5430432	5281231	2551833	3143777	2435825	3010494	4960002	3790797	7864573	5423253	927342	3552992	2449705	3017246
hsa-miR-17-5p	5075	4135	6922	4065	17775	8605	19947	11182	21208	17727	11181	8832	29599	14660	22530	10121	14668	10602	17121	12735	13971	9409	14899	16267	29311	21888	37689	22399	15335	13754	11115	9655	24420	12466	41024	24613	5391	15711	13301	13345
hsa-miR-181a-5p	6523	8320	6942	5032	14363	11841	17759	14773	9848	11859	11557	16120	19960	19822	12124	8199	20241	19296	15497	12116	13305	13888	8023	6956	12123	13394	18982	19836	10299	11013	5930	9938	22018	18596	29559	20179	1824	12685	8994	10641
hsa-miR-181b-5p	384	493	506	325	893	798	1181	1076	869	980	602	874	1120	1031	825	727	1234	1354	978	645	758	929	614	640	1070	871	1174	1222	584	697	557	740	1218	1038	1966	1328	231	952	532	513
hsa-miR-181b-5p	389	504	526	330	909	805	1189	1083	884	987	610	881	1129	1048	836	730	1241	1372	987	650	764	935	619	643	1085	876	1185	1234	593	705	560	742	1228	1041	2006	1345	231	964	535	527
hsa-miR-181c-5p	161	171	160	107	284	146	288	163	487	260	301	248	259	205	284	99	450	435	388	209	238	111	182	250	263	264	414	382	219	100	205	181	441	206	622	465	127	283	326	201
hsa-miR-181d-5p	336	512	297	134	484	568	450	452	527	992	298	521	448	488	551	594	993	1489	870	544	318	438	344	285	465	320	666	829	253	388	458	645	684	906	1554	1069	129	834	332	368
hsa-miR-182-5p	0	0	1	1	5	2	0	0	2	6	1	1	1	0	1	0	2	1	0	1	4	1	1	0	12	6	0	0	5	0	0	0	1	0	5	5	0	0	1	1
hsa-miR-1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-183-5p	0	1	1	0	0	3	1	0	3	0	2	0	0	0	0	0	0	3	0	0	2	0	0	2	3	11	0	0	0	0	0	0	1	0	0	4	1	0	0	0
hsa-miR-1843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-185-5p	4722	3742	8099	3680	8478	4787	10761	8318	12507	10831	7579	7339	10711	6664	8648	3233	10649	9556	12283	9947	11238	5567	4608	2278	12248	10838	15487	13544	9510	9694	6513	7145	14933	5859	13027	10126	2186	9582	7310	6829
hsa-miR-186-5p	2700	3079	7434	3907	6082	3915	9750	6073	11430	9907	10462	7090	7190	4641	5817	3105	12622	13544	12702	6194	10955	3376	5365	7942	13382	10716	9419	6731	4997	4325	3783	3707	8921	6204	10535	10665	7296	6833	5526	6464
hsa-miR-187-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-188-5p	1	0	2	3	2	3	1	0	4	1	1	0	1	1	2	1	6	4	3	3	5	2	0	4	1	5	3	0	2	0	2	2	1	3	2	4	0	5	3	0
hsa-miR-18a-5p	4971	3338	7477	3529	13701	4985	15209	7503	20875	12811	9154	5463	20395	11345	17349	4669	11047	9514	20201	9699	12181	4539	8232	9126	15831	11223	29933	13935	13063	7786	8027	4454	22214	10626	21749	15017	3539	11656	16803	12588
hsa-miR-18b-5p	108	67	153	93	191	69	312	158	335	161	236	175	288	169	450	91	297	222	398	199	242	63	78	185	159	123	534	292	239	126	116	82	422	180	299	222	62	189	349	207
hsa-miR-1908-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1909-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-190a-5p	1	0	0	0	2	0	1	1	0	1	1	1	0	0	2	0	0	0	6	4	1	0	1	4	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2
hsa-miR-190b-5p	35	59	118	76	88	68	100	66	174	158	148	171	109	66	113	36	220	254	129	112	89	45	50	67	109	74	176	107	72	65	57	52	130	75	147	134	26	114	97	105
hsa-miR-191-5p	180774	261103	506889	229473	511315	389490	526232	430227	515093	646885	549215	470810	491698	405705	412694	322833	526595	862166	867308	482460	449045	344390	429168	392001	705141	691541	495195	489048	270249	325229	229732	307256	575339	578469	814202	609675	200025	376869	271936	441451
hsa-miR-1910-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1911-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1912-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1914-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1915-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-192-5p	61	58	245	157	133	78	226	108	316	160	357	219	127	91	267	83	280	258	319	169	453	108	136	282	449	372	361	281	137	79	130	102	280	147	263	209	298	213	211	222
hsa-miR-193a-5p	1215	1728	2025	645	2332	1663	2014	1682	2937	5559	1857	2792	3337	3493	1114	828	2894	4712	21870	27365	1858	2547	1131	352	1323	1927	3044	3532	4378	7012	984	1803	10563	13780	6392	4623	189	1212	1337	2235
hsa-miR-193b-5p	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
hsa-miR-194-5p	1613	1449	2433	1568	3036	2034	5753	3993	4918	3667	3429	3311	5133	3576	6948	3159	4776	3371	5977	4589	7071	3925	2739	3378	6290	4647	15717	11622	4511	3964	3371	3637	10397	4323	9221	6443	1441	4983	3511	3145
hsa-miR-194-5p	1969	1737	3035	1944	3864	2512	7272	5009	6090	4685	4130	3805	6768	4477	8707	3997	5795	4077	7633	5778	9141	5178	3657	4314	8755	6262	19207	13542	6009	5301	4353	4608	13348	5443	11984	8150	1786	6365	4357	3953
hsa-miR-195-5p	706	666	1129	695	1125	736	1337	1126	2142	1611	2205	1596	1784	1005	1806	735	2109	1935	1734	989	2042	1473	916	1094	2463	1502	2140	2002	1127	965	1063	952	2305	1190	2583	1374	350	900	917	779
hsa-miR-196a-5p	1	0	0	0	1	2	6	1	2	2	2	1	4	0	0	0	1	1	4	4	4	1	3	0	0	5	2	0	2	3	0	1	2	2	1	2	0	1	3	4
hsa-miR-196a-5p	1	0	0	0	1	3	6	1	2	2	2	1	4	1	0	0	1	1	4	4	4	1	3	0	0	5	2	0	2	3	0	1	2	2	2	3	0	1	3	4
hsa-miR-196b-5p	44	43	33	20	76	48	68	52	103	103	61	68	57	34	46	26	17	27	45	60	31	31	51	48	61	54	53	44	55	44	22	38	61	39	87	88	15	44	55	67
hsa-miR-197-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1973	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-199a-5p	2	0	0	1	4	1	3	5	15	12	10	6	5	2	1	1	2	4	5	1	4	1	3	9	13	14	14	1	4	1	3	1	7	4	3	0	13	4	5	3
hsa-miR-199a-5p	2	0	0	1	4	1	3	5	15	12	10	6	5	2	1	1	2	4	5	1	4	1	3	9	13	14	14	1	4	1	3	1	7	4	3	0	13	4	5	3
hsa-miR-199b-5p	0	0	1	0	0	0	0	0	5	4	1	0	1	0	1	1	1	1	10	3	1	0	0	5	1	0	1	0	0	2	1	0	0	3	1	0	0	0	0	0
hsa-miR-19a-5p	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	1	1	0	0
hsa-miR-19b-1-5p	1	0	1	1	1	0	2	0	11	4	10	2	6	2	1	0	3	5	2	0	7	0	2	1	6	2	0	0	2	0	3	0	1	2	7	4	0	2	0	2
hsa-miR-19b-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200b-5p	1	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	2	0	4	0	0	0	0
hsa-miR-200c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-202-5p	5	3	8	6	27	9	11	4	58	23	39	27	9	5	9	6	10	16	21	16	29	6	24	63	25	20	16	6	9	10	30	7	8	10	16	11	8	5	14	5
hsa-miR-203a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-203b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-204-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-205-5p	0	2	8	2	4	0	3	5	10	11	1	1	2	0	1	1	0	7	3	7	3	1	6	2	4	1	3	7	0	0	1	2	2	6	3	3	0	1	5	2
hsa-miR-2052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-208a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-208b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-20a-5p	8846	5932	10677	6214	26150	11140	25480	13580	30275	24308	16040	11656	44572	21778	33819	12545	20565	13495	22572	17654	19231	10445	23529	21697	43558	34443	48089	27272	20751	18033	14698	11040	31704	15114	53467	32161	7066	22319	25329	20379
hsa-miR-20b-5p	44	50	44	52	192	106	296	165	239	181	171	144	331	181	372	158	231	158	240	197	151	110	217	236	327	280	732	453	188	155	136	105	324	136	604	367	47	205	161	159
hsa-miR-21-5p	1826	1581	2675	1601	4069	2565	5250	3138	9719	5087	6596	4475	5500	3094	5465	1580	6239	4075	5776	4614	5797	2124	2365	5286	8957	7301	9101	5803	4970	3405	2658	2210	7126	2716	9240	6922	3937	5014	4285	3350
hsa-miR-210-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-211-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2114-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2115-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2116-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-212-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-214-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-215-5p	1	0	6	5	4	0	7	1	15	9	6	6	2	0	7	1	5	6	8	3	7	0	1	7	10	18	17	4	5	3	4	5	3	1	11	8	0	2	5	1
hsa-miR-216a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-216b-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-217-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-218-5p	0	3	1	1	0	0	0	3	1	4	2	1	1	2	0	0	0	2	1	3	3	1	0	0	0	2	1	0	1	2	0	0	1	0	4	0	0	0	2	0
hsa-miR-218-5p	0	3	1	1	0	0	0	3	1	4	2	1	1	2	0	0	0	2	1	3	3	1	0	0	0	0	1	0	1	2	0	0	1	0	4	0	0	0	2	0
hsa-miR-219a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-219a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-219b-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-22-5p	97	107	308	174	222	101	282	115	407	181	466	285	243	219	299	59	378	407	377	253	463	129	71	200	177	148	321	266	249	130	198	74	446	223	468	435	27	121	284	184
hsa-miR-221-5p	21	30	40	22	46	37	49	33	54	54	56	39	76	39	28	29	73	64	70	35	34	26	52	66	81	89	44	39	28	18	12	16	56	25	61	53	18	44	35	32
hsa-miR-222-5p	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0
hsa-miR-223-5p	116	128	243	125	334	202	237	137	263	275	285	275	342	391	229	119	320	407	415	381	183	148	161	131	230	241	278	332	70	101	101	135	323	247	506	341	27	160	224	235
hsa-miR-224-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2276-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2277-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2355-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-23a-5p	1	1	6	1	3	0	1	0	0	1	1	3	0	0	0	1	1	4	3	0	2	0	0	0	0	0	1	3	0	0	0	0	2	2	3	0	0	0	0	3
hsa-miR-23b-5p	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-24-1-5p	0	0	8	5	1	6	6	3	10	6	2	8	3	5	7	3	10	13	3	6	10	2	1	1	2	2	3	7	5	3	4	5	5	2	3	4	3	6	2	4
hsa-miR-24-2-5p	10	8	22	10	16	10	11	15	33	11	17	16	16	13	27	2	22	22	24	11	20	10	7	8	23	27	33	12	19	8	14	8	37	15	27	18	10	8	20	3
hsa-miR-2467-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-25-5p	57	79	349	113	156	76	187	140	129	163	162	239	139	199	88	30	256	442	276	253	251	139	95	52	74	145	160	210	100	104	65	99	310	369	322	265	17	68	114	123
hsa-miR-2681-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-26a-5p	16415	17915	22946	13697	41688	28052	37206	22363	39330	37733	44942	38866	41365	28969	33636	19781	42229	50793	39688	29610	37591	24148	30129	34647	45237	41710	42664	37526	26697	26721	17556	20777	42643	30159	64213	42708	7904	27073	26476	31899
hsa-miR-26a-5p	16423	17916	22954	13699	41704	28054	37205	22368	39328	37744	44961	38892	41366	28981	33656	19787	42247	50802	39740	29638	37600	24145	30140	34648	45252	41726	42687	37549	26709	26727	17553	20775	42643	30161	64239	42739	7904	27087	26490	31920
hsa-miR-26b-5p	39419	40914	45687	32828	79259	59528	112833	72082	122749	124777	92361	86045	130788	85328	101885	55232	88093	92159	120211	92925	81987	56615	74982	99282	123833	96489	138018	119496	63656	65456	56455	54618	122366	86355	190701	124402	12013	44197	72536	83002
hsa-miR-27a-5p	2	1	2	0	6	3	3	3	6	6	2	3	4	1	3	1	2	3	5	4	3	0	0	1	0	3	7	2	1	2	2	1	6	10	4	2	0	3	2	6
hsa-miR-27b-5p	0	3	2	0	5	4	1	6	2	2	4	4	7	1	7	0	4	4	1	1	4	3	4	0	11	10	3	2	9	4	2	1	2	12	11	9	0	3	1	8
hsa-miR-28-5p	532	569	840	493	1242	703	1777	1023	1853	1526	1219	1054	1482	1116	1339	668	1074	1126	1689	1152	1161	734	958	933	1562	1328	1987	1422	1144	1046	496	618	1933	1128	2838	1508	322	1059	866	1141
hsa-miR-2909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-296-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-297	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-299-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-299-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-29a-5p	2	0	0	1	0	0	7	0	0	1	2	4	3	0	0	0	0	0	2	0	0	0	0	0	3	0	1	1	5	0	3	0	1	1	2	1	0	0	1	0
hsa-miR-29b-1-5p	0	1	2	2	7	0	0	7	2	3	0	2	1	1	1	2	6	8	4	0	0	3	0	1	0	6	0	2	4	1	0	0	0	0	1	3	0	0	3	1
hsa-miR-29b-2-5p	77	113	110	65	151	126	180	247	196	210	243	362	157	157	104	50	426	386	240	220	178	155	95	107	112	117	198	259	125	144	103	155	305	242	351	293	19	105	95	127
hsa-miR-29c-5p	2	4	12	2	8	5	13	15	23	8	21	19	12	10	7	3	23	14	14	7	20	7	7	18	24	11	19	24	7	3	15	9	7	5	12	11	12	6	8	10
hsa-miR-301a-5p	1	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	1	3	1	0	1	0	0	0	0	2	1	0
hsa-miR-301b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302d-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3059-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3064-5p	1	9	7	6	13	10	17	14	16	16	10	23	27	18	8	15	17	17	19	24	5	17	11	6	7	18	24	21	14	10	2	19	16	29	39	17	0	16	6	13
hsa-miR-3065-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3074-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3085-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30a-5p	3	1	9	6	5	1	12	14	3	6	10	3	9	1	6	2	12	15	9	8	5	2	4	3	13	14	14	5	4	0	4	3	7	4	2	6	6	11	6	8
hsa-miR-30b-5p	69	82	120	72	261	134	212	147	555	423	406	262	244	131	214	61	222	230	343	183	294	160	166	318	689	555	381	219	199	166	146	124	224	118	358	282	212	239	144	190
hsa-miR-30c-5p	932	956	1468	785	2367	1577	2144	1628	4267	3485	4052	3031	2129	1689	1602	606	2201	2695	2750	2163	2592	1692	1679	2935	4427	3581	2628	2246	1554	1455	1284	1379	2482	1337	3027	2519	1082	2031	1486	2291
hsa-miR-30c-5p	934	956	1467	785	2369	1576	2141	1628	4267	3484	4053	3030	2130	1689	1603	606	2203	2695	2750	2166	2593	1692	1679	2935	4427	3582	2628	2248	1554	1455	1284	1382	2481	1339	3027	2520	1082	2031	1486	2291
hsa-miR-30d-5p	1455	1602	4956	1727	4209	2267	3861	3143	5893	5662	4309	3318	3462	2413	2845	1453	5360	6880	7138	4119	5169	2664	2562	1863	6707	5744	4724	4057	2554	2635	1939	2369	4862	3000	6976	4932	2073	3135	2290	2785
hsa-miR-30e-5p	725	513	1793	728	1694	677	1806	1020	2813	1953	2401	1344	1849	1166	1807	498	2259	1908	2393	1424	2195	572	1026	1467	2222	2162	2010	1320	1043	727	824	577	1822	1029	2083	2097	1030	1210	1839	1827
hsa-miR-31-5p	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
hsa-miR-3115	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-3117-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
